"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5.969mm","31.362mm","5.969mm","31.362mm","5.969mm","32.3995mm","T","-90","1uF",
"C2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","13.589mm","69.2658mm","13.589mm","69.2658mm","13.589mm","68.2283mm","T","90","0.1uF",
"C3","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","11.684mm","61.722mm","11.684mm","61.722mm","11.684mm","60.6845mm","T","90","0.1uF",
"C4","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6.477mm","91.8425mm","6.477mm","91.8425mm","6.477mm","90.805mm","T","90","22uF",
"C5","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8.636mm","91.8585mm","8.636mm","91.8585mm","8.636mm","90.821mm","T","90","0.1uF",
"C6","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","13.335mm","91.821mm","13.335mm","91.821mm","13.335mm","90.7835mm","T","90","22uF",
"C7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","11.176mm","91.821mm","11.176mm","91.821mm","11.176mm","90.7835mm","T","90","0.1uF",
"C8","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","13.716mm","61.722mm","13.716mm","61.722mm","13.716mm","60.6845mm","T","90","0.1uF",
"D33","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","8.509mm","50.419mm","8.509mm","50.419mm","8.509mm","51.444mm","T","-90","LED",
"D49","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","37.719mm","11.43mm","37.719mm","11.43mm","37.719mm","10.405mm","T","90","LED",
"D57","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","316.135mm","60.089mm","316.135mm","60.089mm","315.11mm","60.089mm","T","0","LED",
"D65","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","316.135mm","61.994mm","316.135mm","61.994mm","315.11mm","61.994mm","T","0","LED",
"R1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8.001mm","31.362mm","8.001mm","31.362mm","8.001mm","32.362mm","T","-90","10K",
"R2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","26.3652mm","55.5498mm","26.3652mm","55.5498mm","26.3652mm","56.5498mm","T","-90","10K",
"R3","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","28.7528mm","55.5498mm","28.7528mm","55.5498mm","28.7528mm","56.5498mm","T","-90","10K",
"R4","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","31.0388mm","55.5498mm","31.0388mm","55.5498mm","31.0388mm","56.5498mm","T","-90","10K",
"R5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","33.274mm","55.5498mm","33.274mm","55.5498mm","33.274mm","56.5498mm","T","-90","10K",
"R6","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","26.3652mm","47.0822mm","26.3652mm","47.0822mm","26.3652mm","48.0822mm","T","-90","10K",
"R7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","28.8544mm","47.0822mm","28.8544mm","47.0822mm","28.8544mm","48.0822mm","T","-90","10K",
"R8","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","31.1404mm","47.0982mm","31.1404mm","47.0982mm","31.1404mm","48.0982mm","T","-90","10K",
"R9","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","33.528mm","47.0982mm","33.528mm","47.0982mm","33.528mm","48.0982mm","T","-90","10K",
"R10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","9.525mm","53.467mm","9.525mm","53.467mm","8.525mm","53.467mm","T","0","3.3K",
"R12","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","12.319mm","12.446mm","12.319mm","12.446mm","11.319mm","12.446mm","T","0","10K",
"R14","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","32.512mm","11.049mm","32.512mm","11.049mm","33.512mm","11.049mm","T","180","3.3K",
"U1","ESP32-WROOM-32U","20.193mm","24.511mm","20.193mm","24.511mm","11.693mm","32.766mm","T","0","ESP32-WROOM-32U",
"U2","SOIC-8_3.9x4.9mm_P1.27mm","15.5956mm","74.9046mm","15.5956mm","74.9046mm","17.5006mm","77.3796mm","T","-90","CH340N",
"U3","SOT-223-3_TabPin2","10.922mm","84.836mm","10.922mm","84.836mm","13.222mm","87.986mm","T","-90","AMS1117-3.3",
"U4","SOP-16_3.9x9.9mm_P1.27mm","16.764mm","56.007mm","16.764mm","56.007mm","12.319mm","53.507mm","T","90","CH9329",
"C9","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","301.53mm","62.629mm","301.53mm","62.629mm","301.53mm","61.5915mm","B","90","0.1uF",
"C10","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","306.61mm","62.629mm","306.61mm","62.629mm","306.61mm","61.5915mm","B","90","22uF",
"C11","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","304.07mm","62.629mm","304.07mm","62.629mm","304.07mm","61.5915mm","B","90","22uF",
"C12","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","276.86mm","24.384mm","276.86mm","24.384mm","276.86mm","23.3465mm","B","90","10uF",
"C13","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","270.51mm","37.719mm","270.51mm","37.719mm","270.51mm","36.6815mm","B","90","0.1uF",
"C14","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","273.05mm","37.719mm","273.05mm","37.719mm","273.05mm","36.6815mm","B","90","47uF",
"D1","D_MiniMELF","51.054mm","92.583mm","51.054mm","92.583mm","51.054mm","94.333mm","B","-90","LL4148",
"D2","D_MiniMELF","70.104mm","92.583mm","70.104mm","92.583mm","70.104mm","94.333mm","B","-90","LL4148",
"D3","D_MiniMELF","89.027mm","92.456mm","89.027mm","92.456mm","89.027mm","94.206mm","B","-90","LL4148",
"D4","D_MiniMELF","108.077mm","92.456mm","108.077mm","92.456mm","108.077mm","94.206mm","B","-90","LL4148",
"D5","D_MiniMELF","127.127mm","92.456mm","127.127mm","92.456mm","127.127mm","94.206mm","B","-90","LL4148",
"D6","D_MiniMELF","146.177mm","92.583mm","146.177mm","92.583mm","146.177mm","94.333mm","B","-90","LL4148",
"D7","D_MiniMELF","165.227mm","92.583mm","165.227mm","92.583mm","165.227mm","94.333mm","B","-90","LL4148",
"D8","D_MiniMELF","184.277mm","92.456mm","184.277mm","92.456mm","184.277mm","94.206mm","B","-90","LL4148",
"D9","D_MiniMELF","55.753mm","73.533mm","55.753mm","73.533mm","55.753mm","75.283mm","B","-90","LL4148",
"D10","D_MiniMELF","79.502mm","73.533mm","79.502mm","73.533mm","79.502mm","75.283mm","B","-90","LL4148",
"D11","D_MiniMELF","98.679mm","73.533mm","98.679mm","73.533mm","98.679mm","75.283mm","B","-90","LL4148",
"D12","D_MiniMELF","117.602mm","73.533mm","117.602mm","73.533mm","117.602mm","75.283mm","B","-90","LL4148",
"D13","D_MiniMELF","136.652mm","73.533mm","136.652mm","73.533mm","136.652mm","75.283mm","B","-90","LL4148",
"D14","D_MiniMELF","155.702mm","73.533mm","155.702mm","73.533mm","155.702mm","75.283mm","B","-90","LL4148",
"D15","D_MiniMELF","174.625mm","73.406mm","174.625mm","73.406mm","174.625mm","75.156mm","B","-90","LL4148",
"D16","D_MiniMELF","193.802mm","73.533mm","193.802mm","73.533mm","193.802mm","75.283mm","B","-90","LL4148",
"D17","D_MiniMELF","58.039mm","54.483mm","58.039mm","54.483mm","58.039mm","56.233mm","B","-90","LL4148",
"D18","D_MiniMELF","84.201mm","54.356mm","84.201mm","54.356mm","84.201mm","56.106mm","B","-90","LL4148",
"D19","D_MiniMELF","103.378mm","54.483mm","103.378mm","54.483mm","103.378mm","56.233mm","B","-90","LL4148",
"D20","D_MiniMELF","122.428mm","54.483mm","122.428mm","54.483mm","122.428mm","56.233mm","B","-90","LL4148",
"D21","D_MiniMELF","141.478mm","54.483mm","141.478mm","54.483mm","141.478mm","56.233mm","B","-90","LL4148",
"D22","D_MiniMELF","160.401mm","54.483mm","160.401mm","54.483mm","160.401mm","56.233mm","B","-90","LL4148",
